Drillhole_ID,Azi,Dip,From_m,To_m,True_Width_m,Ag_g_t,Zn_pct,Pb_pct,Prospect
K-22-0804,153,-51,79.52,81.72,0.58,1330,4.7,1.4,Silver King
K-22-0804,153,-51,98.94,99.36,0.12,34.29,0,0,Silver King
K-22-0804,153,-51,160.48,161.91,0.37,34.29,0,0,Silver King
K-22-0804,153,-51,169.96,171.27,0.34,58.29,0,0,Silver King
K-22-0804,153,-51,284.99,285.45,0.12,44.57,1.1,0.4,Silver King
K-22-0808,315,-66,101.25,105.86,3.75,75.43,1.2,0,Silver King
K-22-0808,315,-66,109.76,110.22,0.37,65.14,0.3,0.1,Silver King
K-22-0810,305,-66.5,109.27,115.98,4.97,270.86,0.9,0.2,Silver King
K-22-0810,305,-66.5,118.63,123.44,3.57,672.01,0.2,0.9,Silver King
K-22-0810,305,-66.5,257.71,258.65,0.76,48,0,0,Silver King
K-22-0810,305,-66.5,262.04,262.59,0.46,168,0.3,0.7,Silver King
K-22-0810,305,-66.5,267.52,268.74,0.98,85.72,0,0,Silver King
K-22-0810,305,-66.5,271.61,272.46,0.67,68.57,0,0,Silver King
K-22-0812,300,-71,231.28,232.23,0.55,30.86,0.1,0.2,Silver King
K-22-0812,300,-71,252.8,259.99,4.11,37.71,0.4,0.2,Silver King
K-22-0812,300,-71,263.53,267,1.68,377.15,0,0.8,Silver King
K-22-0812,300,-71,294.01,299.13,3.29,78.86,0,0,Silver King
K-22-0814,288,-80,262.83,288.01,11.31,37.71,0,0,Silver King
K-22-0817,352,-64,111.47,112.68,0.91,185.14,0.7,0.2,Silver King
K-22-0819,307,-74,173.55,177.55,2.38,185.14,0,1.3,Silver King
K-22-0819,307,-74,184.53,195.25,6.43,192,0,0.5,Silver King
K-22-0824,306,-57,639.41,640.26,0.76,233.14,0.1,1.2,Silver Spoon
K-22-0824,306,-57,642.46,642.73,0.24,1131,0,0,Silver Spoon
K-22-0824,306,-57,667.69,667.97,0.21,120,0.9,0.2,Silver Spoon
K-22-0824,306,-57,678.88,679.16,0.21,178.29,0.3,0.1,Silver Spoon

